=== Moccasin CLI Profiling Report ===

Command: compile profiling/contracts/counter.vy --no-install
Profiling report generated at 2025-07-15

### Cumulative Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: cumulative time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.013    1.013 /home/s3bc40/gh-projects/moccasin/moccasin/__main__.py:29(main)
     49/2    0.000    0.000    0.990    0.495 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/importlib/__init__.py:108(import_module)
     50/2    0.000    0.000    0.990    0.495 <frozen importlib._bootstrap>:1192(_gcd_import)
   1223/2    0.004    0.000    0.990    0.495 <frozen importlib._bootstrap>:1165(_find_and_load)
   1183/1    0.003    0.000    0.990    0.990 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   2496/3    0.001    0.000    0.990    0.330 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   1142/2    0.003    0.000    0.990    0.495 <frozen importlib._bootstrap>:666(_load_unlocked)
   1101/2    0.001    0.000    0.990    0.495 <frozen importlib._bootstrap_external>:934(exec_module)
   1745/2    0.035    0.000    0.990    0.495 {built-in method builtins.exec}
        1    0.000    0.000    0.990    0.990 /home/s3bc40/gh-projects/moccasin/moccasin/commands/compile.py:1(<module>)
        1    0.000    0.000    0.878    0.878 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/__init__.py:1(<module>)
   180/38    0.000    0.000    0.878    0.023 {built-in method builtins.__import__}
        1    0.000    0.000    0.691    0.691 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/explorer.py:1(<module>)
        1    0.000    0.000    0.622    0.622 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/boa/util/abi.py:1(<module>)
        1    0.000    0.000    0.617    0.617 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/__init__.py:1(<module>)
        1    0.000    0.000    0.616    0.616 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/chains/__init__.py:1(<module>)
        1    0.000    0.000    0.614    0.614 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/chains/base.py:1(<module>)
 1052/784    0.001    0.000    0.553    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.474    0.474 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/consensus/__init__.py:1(<module>)
        1    0.000    0.000    0.474    0.474 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/consensus/clique/__init__.py:1(<module>)
        1    0.000    0.000    0.474    0.474 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/consensus/clique/clique.py:1(<module>)
        1    0.000    0.000    0.472    0.472 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/db/chain.py:1(<module>)
        1    0.000    0.000    0.464    0.464 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/db/header.py:1(<module>)
        1    0.000    0.000    0.463    0.463 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/vm/header.py:1(<module>)
        1    0.000    0.000    0.463    0.463 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/vm/forks/__init__.py:1(<module>)
